municipalityId,countyId,id,validFrom,temp
1146,11,SN47055,2013-06-10/2021-03-01,8.409726444
3047,30,SN26500,2015-06-01/2021-03-01,5.636233422
3823,38,SN37500,1942-01-01/2021-03-01,3.3
3418,34,SN6170,2015-11-04/2021-03-01,4.697844228
4617,46,SN50150,1943-07-01/2021-03-01,3.3
3016,30,SN3290,1991-01-01/2021-03-01,6.015623593
3449,34,SN22840,1895-07-01/2021-03-01,3.3
3803,38,SN27272,2020-02-01/2021-03-01,7.690874525
3005,30,SN26590,2015-06-01/2021-03-01,6.971522634
3007,30,SN20301,2005-05-30/2021-03-01,6.218845619
4641,46,SN53990,2012-01-01/2021-03-01,0.67462346
4642,46,SN54645,2017-11-27/2021-03-01,0.308452042
1149,11,SN47270,1977-05-01/2021-03-01,3.3
5044,50,SN74670,2011-01-01/2021-03-01,2.490586797
5436,54,SN95350,1945-08-01/2021-03-01,1.088297564
3412,34,SN12280,2020-10-12/2021-03-01,-4.252173913
4227,42,SN41860,1986-05-01/2021-03-01,3.3
4621,46,SN51460,2011-01-01/2021-03-01,6.266081871
2600,26,SN76931,1998-01-04/2021-03-01,8.551649185
2600,26,SN76967,2014-06-02/2021-03-01,9.050894085
2600,26,SN20929,2019-06-01/2021-03-01,3.3
4642,46,SN54600,1895-01-01/2021-03-01,3.3
1840,18,SN82000,2009-02-04/2021-03-01,4.574092559
4640,46,SN55820,2005-11-20/2021-03-01,5.418782546
5439,54,SN96400,1927-11-28/2021-03-01,2.133149429
4635,46,SN52940,2013-06-11/2021-03-01,6.265889508
3435,34,SN14550,1950-09-01/2021-03-01,3.3
3439,34,SN13150,2009-11-18/2021-03-01,3.436295217
2600,26,SN76922,1978-01-01/2021-03-01,7.787876306
5021,50,SN63940,2012-01-01/2021-03-01,-1.494909502
1812,18,SN76240,2014-02-10/2021-03-01,4.581564246
3025,30,SN19825,2017-09-12/2021-03-01,7.924203822
5037,50,SN69960,1962-07-01/2021-03-01,3.3
5421,54,SN88460,1986-09-01/2021-03-01,3.3
5422,54,SN89985,2014-09-24/2021-03-01,-2.502219263
4601,46,SN50500,1955-10-02/2021-03-01,7.176475022
5036,50,SN69655,1989-12-01/2021-03-01,6.505474096
5437,54,SN97710,2014-09-15/2021-03-01,-1.524035608
3803,38,SN27281,2020-04-15/2021-03-01,7.542965779
4601,46,SN50850,2011-01-01/2021-03-01,7.856303419
1813,18,SN76330,1968-07-01/2021-03-01,6.773935465
3423,34,SN8135,2020-09-16/2021-03-01,-2.54379085
5426,54,SN91528,2020-01-08/2021-03-01,3.3
1578,15,SN60620,1972-11-01/2021-03-01,3.3
5034,50,SN69520,2011-08-22/2021-03-01,3.642376682
3405,34,SN12980,2015-11-17/2021-03-01,5.513008937
3453,34,SN13760,2017-11-27/2021-03-01,-1.827442827
3014,30,SN3730,2011-01-01/2021-03-01,5.269074074
3044,30,SN25630,2006-07-01/2021-03-01,2.244488042
3437,34,SN14200,2012-08-25/2021-03-01,0.682919755
4648,46,SN57830,2018-11-28/2021-03-01,5.135275081
5418,54,SN89940,2009-10-08/2021-03-01,0.846403656
2400,24,SN76958,2014-01-01/2021-03-01,7.964529332
1557,15,SN62980,2015-09-02/2021-03-01,1.687792725
2100,21,SN99872,2019-08-21/2021-03-01,3.3
1539,15,SN61580,2013-01-01/2021-03-01,3.26453202
1101,11,SN43520,2013-06-10/2021-03-01,5.88931475
5444,54,SN99540,2012-10-23/2021-03-01,0.202412426
4644,46,SN55300,2011-09-01/2021-03-01,3.3
5439,54,SN96310,1974-08-01/2021-03-01,2.659696539
5403,54,SN92910,1997-08-17/2021-03-01,3.3
5426,54,SN91510,2014-03-04/2021-03-01,3.3
4647,46,SN57480,1895-07-01/2021-03-01,3.3
1806,18,SN84880,2016-10-13/2021-03-01,1.572858036
3431,34,SN9310,2010-09-06/2021-03-01,0.704493208
4646,46,SN56520,1899-09-01/2021-03-01,3.3
5421,54,SN88630,2010-02-16/2021-03-01,3.3
3035,30,SN11060,2017-11-27/2021-03-01,4.692314902
4619,46,SN49800,1884-09-01/2021-03-01,2.871739512
3004,30,SN3030,1970-05-30/2021-03-01,3.3
3807,38,SN30340,2018-11-27/2021-03-01,3.3
3811,38,SN27460,2001-01-01/2021-03-01,7.464879075
1853,18,SN84970,1973-07-01/2021-03-01,3.878161471
3428,34,SN9400,2011-03-30/2021-03-01,1.6988125
4640,46,SN55928,2005-01-01/2021-03-01,7.716474185
1577,15,SN59660,2019-09-19/2021-03-01,3.3
3014,30,SN3990,2014-09-11/2021-03-01,5.443326345
1835,18,SN80340,1991-11-01/2021-03-01,3.3
1528,15,SN60010,2019-10-24/2021-03-01,3.3
3046,30,SN24670,2011-01-01/2021-03-01,3.784506173
1122,11,SN44480,1902-01-01/2021-03-01,3.3
4647,46,SN56780,1996-07-01/2021-03-01,3.3
2100,21,SN99935,2000-08-01/2021-03-01,-6.318840231
1108,11,SN45350,1895-01-01/2021-03-01,8.696663863
4601,46,SN50527,2015-11-03/2021-03-01,7.248655257
301,3,SN18390,2014-04-24/2021-03-01,3.3
1149,11,SN47264,2013-10-29/2021-03-01,3.3
3005,30,SN26934,2012-09-25/2021-03-01,3.3
3421,34,SN90,2011-04-14/2021-03-01,0.970378301
3811,38,SN27400,1895-07-01/2021-03-01,7.937784844
1806,18,SN84910,2011-05-04/2021-03-01,1.002641509
3807,38,SN30325,2018-11-27/2021-03-01,3.3
5401,54,SN90490,1964-09-30/2021-03-01,3.214883179
1563,15,SN63530,1977-10-01/2021-03-01,3.3
2100,21,SN99740,2010-09-28/2021-03-01,-5.61122534
2600,26,SN76934,1981-01-01/2021-03-01,9.036849315
4611,46,SN47820,1961-01-01/2021-03-01,3.3
1820,18,SN76530,1984-09-01/2021-03-01,6.301305756
3001,30,SN1400,1925-11-01/2021-03-01,5.09469401
1825,18,SN77490,2017-10-19/2021-03-01,-0.798778502
3006,30,SN28450,2013-01-01/2021-03-01,4.356980519
4650,46,SN58030,2011-01-01/2021-03-01,8.288754534
1867,18,SN86740,2002-12-03/2021-03-01,5.717548872
3004,30,SN3015,2002-01-01/2021-03-01,3.3
3825,38,SN33250,1884-10-01/2021-03-01,3.3
1151,11,SN47300,1860-01-01/2021-03-01,7.558503742
4602,46,SN57770,1984-09-01/2021-03-01,8.006327233
2400,24,SN76925,1993-10-01/2021-03-01,7.84302965
1851,18,SN85080,1907-04-01/2021-03-01,2.034106529
1826,18,SN78800,1999-09-24/2021-03-01,2.395962177
1122,11,SN43810,1946-08-01/2021-03-01,3.3
3002,30,SN17280,2000-11-01/2021-03-01,8.168152866
1870,18,SN87000,2014-10-24/2021-03-01,1.470333478
3429,34,SN9250,2015-11-04/2021-03-01,0.023748212
5426,54,SN91522,2018-06-10/2021-03-01,2.813235294
4618,46,SN49085,2015-09-25/2021-03-01,0.594441637
5033,50,SN11000,2013-01-01/2021-03-01,1.204783951
5038,50,SN70510,2013-09-11/2021-03-01,3.3
3401,34,SN2970,2014-09-11/2021-03-01,4.290069444
4618,46,SN31680,2015-03-03/2021-03-01,-3.498536585
3807,38,SN30280,2012-01-01/2021-03-01,4.315270936
5412,54,SN87763,2006-03-15/2021-03-01,5.23241342
4631,46,SN52360,2012-01-01/2021-03-01,6.142324324
4641,46,SN53230,2012-01-01/2021-03-01,6.875362319
3401,34,SN5590,2006-07-01/2021-03-01,5.690442412
1871,18,SN87117,2015-11-04/2021-03-01,4.376962025
301,3,SN18240,2013-10-07/2021-03-01,7.040210943
3805,38,SN30020,2011-01-01/2021-03-01,7.715047619
1865,18,SN85448,2017-06-08/2021-03-01,3.3
2100,21,SN99875,1998-05-09/2021-03-01,3.3
5429,54,SN92500,2004-12-24/2021-03-01,-2.568345543
3041,30,SN24960,1963-12-01/2021-03-01,2.187177168
5435,54,SN94680,1977-07-01/2021-03-01,3.221045131
4228,42,SN44985,2012-01-01/2021-03-01,3.398053528
5025,50,SN10300,1997-09-01/2021-03-01,3.3
4204,42,SN39010,2013-05-04/2021-03-01,3.3
4618,46,SN46510,1967-02-01/2021-03-01,1.301199863
5060,50,SN75220,1989-01-01/2021-03-01,6.343224889
5412,54,SN87772,2015-09-08/2021-03-01,-2.214380081
3005,30,SN26898,2012-10-05/2021-03-01,3.3
3030,30,SN4827,2018-01-23/2021-03-01,6.917121047
3041,30,SN23300,2014-09-11/2021-03-01,0.679791976
3422,34,SN7420,2014-02-07/2021-03-01,1.916588785
1806,18,SN84210,2014-10-01/2021-03-01,-0.604234388
5027,50,SN67280,2007-12-20/2021-03-01,3.997866948
1578,15,SN60650,1961-01-01/2021-03-01,7.503586498
5418,54,SN89360,1991-07-01/2021-03-01,3.3
4602,46,SN59250,1996-07-01/2021-03-01,3.3
4618,46,SN49220,2018-01-01/2021-03-01,6.737219731
3820,38,SN32290,2014-09-11/2021-03-01,6.515620438
4638,46,SN52970,1996-07-01/2021-03-01,3.3
301,3,SN17980,2000-01-01/2021-03-01,6.537173717
1576,15,SN65145,2019-09-25/2021-03-01,3.3
4602,46,SN58990,2017-07-06/2021-03-01,7.01391231
3005,30,SN26790,2015-02-10/2021-03-01,7.151122931
3425,34,SN700,1947-10-20/2021-03-01,0.628053848
3005,30,SN26862,2012-10-14/2021-03-01,3.3
1804,18,SN82290,1953-01-01/2021-03-01,4.976515429
3007,30,SN24350,2012-01-01/2021-03-01,5.893779621
4601,46,SN50503,2004-11-11/2021-03-01,7.218908532
301,3,SN18500,1876-01-01/2021-03-01,4.296348429
5429,54,SN91890,2011-01-01/2021-03-01,3.196459227
5421,54,SN88660,1989-10-01/2021-03-01,3.3
301,3,SN18195,2014-04-23/2021-03-01,3.3
1824,18,SN77230,1987-01-01/2021-03-01,4.047815192
5421,54,SN89010,2013-07-03/2021-03-01,-1.721071864
1507,15,SN62480,1978-09-01/2021-03-01,7.630529049
5044,50,SN74350,1895-07-01/2021-03-01,3.839923298
5035,50,SN69550,1895-07-01/2021-03-01,3.3
1806,18,SN88023,2006-03-15/2021-03-01,4.354593023
3449,34,SN22690,2012-01-01/2021-03-01,2.528710305
4614,46,SN48170,2012-01-01/2021-03-01,7.714860835
5438,54,SN96250,2014-12-01/2021-03-01,-0.931681877
3025,30,SN19810,2015-11-18/2021-03-01,8.914030384
5025,50,SN67890,2011-08-23/2021-03-01,1.054141657
5439,54,SN96600,1999-08-14/2021-03-01,3.3
4620,46,SN25830,1993-10-01/2021-03-01,-0.776820542
1149,11,SN47192,2013-10-29/2021-03-01,3.3
3825,38,SN33555,2013-10-07/2021-03-01,2.554420732
1833,18,SN79700,2011-06-09/2021-03-01,3.129617117
3042,30,SN25115,2016-10-13/2021-03-01,-0.657348343
5028,50,SN68270,1960-01-01/2021-03-01,3.3
3036,30,SN4785,2018-02-05/2021-03-01,6.087327824
5021,50,SN63820,2014-09-11/2021-03-01,3.477829589
5429,54,SN92350,1965-08-01/2021-03-01,3.190436979
301,3,SN18180,2013-05-22/2021-03-01,3.3
4204,42,SN39201,2005-06-11/2021-03-01,3.3
3819,38,SN31853,2020-09-16/2021-03-01,-0.77987013
3811,38,SN27403,2015-11-19/2021-03-01,7.922204557
3407,34,SN11900,1876-12-01/2021-03-01,3.3
4643,46,SN54740,2011-01-01/2021-03-01,7.056490251
4204,42,SN39210,2012-06-26/2021-03-01,1.4
1506,15,SN62160,1980-09-01/2021-03-01,3.3
1804,18,SN81315,2020-09-16/2021-03-01,2.918709677
4205,42,SN41175,2016-06-17/2021-03-01,6.629928315
1845,18,SN82840,1991-07-01/2021-03-01,3.3
5029,50,SN67005,2013-01-01/2021-03-01,5.322739018
3024,30,SN19490,1970-07-01/2021-03-01,3.3
3436,34,SN13640,1970-10-01/2021-03-01,3.3
1507,15,SN60850,2011-11-23/2021-03-01,7.072106444
4618,46,SN49420,1937-11-22/2021-03-01,5.512429379
3451,34,SN22890,2015-11-05/2021-03-01,2.869028488
3431,34,SN16610,1968-06-01/2021-03-01,0.536001246
4211,42,SN35110,2011-01-01/2021-03-01,5.395619439
1816,18,SN76470,2000-06-24/2021-03-01,3.3
1506,15,SN61810,2015-11-04/2021-03-01,5.030453431
5444,54,SN99420,2013-07-22/2021-03-01,0.92665066
4224,42,SN41480,1895-07-01/2021-03-01,6.164920828
3801,38,SN27161,2018-09-27/2021-03-01,6.630917327
2100,21,SN99770,2020-09-22/2021-03-01,-6.64556962
5428,54,SN91740,1974-08-01/2021-03-01,3.086572687
4215,42,SN38250,2013-12-19/2021-03-01,8.185599464
3052,30,SN29350,1985-10-01/2021-03-01,3.322440031
4622,46,SN50120,1984-01-01/2021-03-01,3.3
1825,18,SN77403,2006-03-15/2021-03-01,1.884216867
3818,38,SN31970,1935-09-01/2021-03-01,-4.006975912
1578,15,SN60500,1925-01-01/2021-03-01,7.287286803
5425,54,SN91480,2004-12-24/2021-03-01,-1.618208778
5028,50,SN67202,2011-09-15/2021-03-01,3.3
1103,11,SN44620,1990-07-01/2021-03-01,3.3
3425,34,SN730,1968-07-01/2021-03-01,3.3
3441,34,SN13030,2005-01-01/2021-03-01,3.988758389
3423,34,SN8230,2011-04-13/2021-03-01,2.644198565
1525,15,SN60240,2011-10-31/2021-03-01,3.036450839
3012,30,SN1600,2014-09-11/2021-03-01,3.718256579
5418,54,SN89820,2019-09-01/2021-03-01,0.505273834
3454,34,SN54731,2012-01-01/2021-03-01,1.511064229
3013,30,SN1950,1883-01-01/2021-03-01,3.3
1108,11,SN44710,2013-06-11/2021-03-01,9.495539033
5427,54,SN91695,2012-01-01/2021-03-01,4.68038822
3054,30,SN4543,2008-01-14/2021-03-01,4.009971014
3021,30,SN17875,2011-07-06/2021-03-01,6.256662354
3825,38,SN31620,1980-11-01/2021-03-01,1.332584424
5424,54,SN91130,2011-11-17/2021-03-01,-0.208431604
5435,54,SN94710,2003-12-03/2021-03-01,3.3
1806,18,SN84500,2011-01-25/2021-03-01,3.676599783
4640,46,SN55700,1971-06-01/2021-03-01,4.379011563
4650,46,SN58320,1895-07-01/2021-03-01,3.3
3026,30,SN2650,2007-11-28/2021-03-01,5.281883908
5059,50,SN66045,2020-09-16/2021-03-01,1.239354839
4651,46,SN58670,2017-11-27/2021-03-01,6.901244813
301,3,SN18162,2014-04-23/2021-03-01,3.3
5054,50,SN71320,2005-01-01/2021-03-01,6.751906059
3014,30,SN3780,1908-01-01/2021-03-01,3.3
4214,42,SN36330,2016-12-07/2021-03-01,7.374546632
3052,30,SN29700,2011-07-12/2021-03-01,1.296632302
301,3,SN18270,1974-04-18/2021-03-01,5.827874332
5427,54,SN91731,2018-12-18/2021-03-01,3.3
2800,28,SN77035,2018-06-18/2021-03-01,8.640816327
1837,18,SN80615,2004-12-24/2021-03-01,-3.852342286
4207,42,SN42700,2011-01-01/2021-03-01,6.590778689
1122,11,SN44970,2013-06-10/2021-03-01,8.642616679
3026,30,SN2560,2014-09-11/2021-03-01,4.391551247
3036,30,SN4740,1965-09-01/2021-03-01,3.3
3806,38,SN30247,2012-01-01/2021-03-01,3.599266862
3048,30,SN26820,2005-01-01/2021-03-01,6.588780652
5430,54,SN93301,2004-11-08/2021-03-01,-1.62829712
1828,18,SN80050,2015-11-05/2021-03-01,4.528348505
4204,42,SN39165,2012-06-26/2021-03-01,3.3
1149,11,SN47240,1967-09-14/2021-03-01,3.3
4602,46,SN57710,1971-06-01/2021-03-01,8.011878788
3805,38,SN27780,2005-01-01/2021-03-01,7.997648262
301,3,SN18225,2013-06-05/2021-03-01,3.3
2100,21,SN99752,1908-09-01/2021-03-01,-3.371754129
4650,46,SN58060,2017-07-06/2021-03-01,7.007
3808,38,SN30875,2015-03-03/2021-03-01,1.952506596
5402,54,SN87640,2002-08-01/2021-03-01,4.563686983
4214,42,SN38600,1895-07-01/2021-03-01,3.3
1124,11,SN44548,2014-02-06/2021-03-01,3.3
3005,30,SN26802,2015-02-10/2021-03-01,7.040863787
1837,18,SN80705,2014-11-27/2021-03-01,2.959492563
4621,46,SN51250,1944-01-01/2021-03-01,3.3
5416,54,SN89515,2013-12-01/2021-03-01,3.3
4636,46,SN56400,1923-02-01/2021-03-01,3.3
301,3,SN18440,2013-05-21/2021-03-01,3.3
5422,54,SN90110,2016-04-05/2021-03-01,-0.421692825
3051,30,SN28922,2006-07-05/2021-03-01,5.196880254
5406,54,SN94255,2011-12-21/2021-03-01,3.3
1133,11,SN45870,2007-05-29/2021-03-01,8.663975279
3818,38,SN31210,2016-03-01/2021-03-01,3.3
3825,38,SN31560,2015-11-05/2021-03-01,1.364131245
3824,38,SN37580,2016-11-14/2021-03-01,2.357427386
5060,50,SN75190,2014-09-11/2021-03-01,6.752161215
3033,30,SN4725,2014-12-01/2021-03-01,5.868067717
3807,38,SN32780,1897-06-01/2021-03-01,3.3
4217,42,SN38800,1895-07-01/2021-03-01,3.3
4619,46,SN29900,2006-02-16/2021-03-01,-0.979869186
1507,15,SN60880,2012-01-01/2021-03-01,7.728453608
5031,50,SN69035,2015-10-20/2021-03-01,5.846017699
4204,42,SN39150,1974-11-27/2021-03-01,8.629144022
3014,30,SN3720,2013-10-01/2021-03-01,6.727954023
5442,54,SN98974,2018-10-06/2021-03-01,-1.192840647
3048,30,SN26670,1964-07-01/2021-03-01,3.3
3038,30,SN19663,2008-01-14/2021-03-01,5.230028329
1106,11,SN47350,2011-04-14/2021-03-01,8.812690496
301,3,SN18210,1999-01-15/2021-03-01,7.635548553
3818,38,SN30860,1960-09-01/2021-03-01,4.763049096
1517,15,SN59570,2018-03-15/2021-03-01,3.3
3811,38,SN27433,2015-11-19/2021-03-01,7.816534181
3405,34,SN12710,2016-11-04/2021-03-01,4.467444121
1840,18,SN81775,2013-09-30/2021-03-01,1.865397792
4643,46,SN54815,2012-01-30/2021-03-01,-0.213185707
5403,54,SN92900,1981-08-01/2021-03-01,3.3
3822,38,SN37230,1944-06-01/2021-03-01,5.561978069
5014,50,SN65940,1975-01-01/2021-03-01,7.114470001
3427,34,SN66810,2014-09-11/2021-03-01,1.692706334
3448,34,SN21700,2017-11-27/2021-03-01,2.050965961
3042,30,SN25100,1982-09-01/2021-03-01,3.3
3035,30,SN11463,2008-01-14/2021-03-01,6.631491713
1525,15,SN60225,2016-04-12/2021-03-01,4.759395532
3811,38,SN27406,2015-11-19/2021-03-01,7.931919406
301,3,SN18165,2013-02-23/2021-03-01,3.3
1134,11,SN46220,2018-02-06/2021-03-01,4.810554562
3427,34,SN66900,2011-04-13/2021-03-01,0.400237389
3811,38,SN27415,2015-11-04/2021-03-01,1.087096774
5001,50,SN68120,2012-02-01/2021-03-01,5.590123046
3048,30,SN26060,2016-11-01/2021-03-01,6.055399361
4643,46,SN54770,2013-10-07/2021-03-01,8.01414856
5419,54,SN89213,2006-03-15/2021-03-01,0.797447352
3025,30,SN19780,2015-03-20/2021-03-01,3.3
4647,46,SN57390,1969-01-01/2021-03-01,3.3
1577,15,SN58960,1895-01-01/2021-03-01,3.389162562
3804,38,SN27630,2013-06-10/2021-03-01,3.3
3435,34,SN14711,1999-09-17/2021-03-01,3.3
3425,34,SN670,2011-04-14/2021-03-01,0.871192661
1507,15,SN60835,2013-10-07/2021-03-01,7.266153846
5038,50,SN70390,2011-01-01/2021-03-01,2.382993197
3412,34,SN6690,2011-03-30/2021-03-01,2.577094241
1120,11,SN44300,1987-01-01/2021-03-01,7.984516303
4644,46,SN55425,2017-05-19/2021-03-01,-1.986456808
3802,38,SN27065,2012-01-01/2021-03-01,6.604501845
3441,34,SN13060,2011-04-07/2021-03-01,3.3
4205,42,SN41770,1863-01-01/2021-03-01,8.159508491
3014,30,SN3810,1968-04-08/2021-03-01,6.509294513
301,3,SN18703,1987-01-01/2021-03-01,3.3
4642,46,SN54420,1974-10-01/2021-03-01,3.3
5060,50,SN75100,1909-01-01/2021-03-01,3.3
3024,30,SN19430,2011-03-14/2021-03-01,7.495060936
5427,54,SN91725,1936-07-03/2021-03-01,3.3
4618,46,SN49351,2000-09-27/2021-03-01,3.3
4203,42,SN36055,2006-04-17/2021-03-01,3.3
5438,54,SN96220,1981-08-01/2021-03-01,3.3
5443,54,SN98400,1924-01-01/2021-03-01,1.977319163
4639,46,SN53101,1993-12-17/2021-03-01,7.582481442
4618,46,SN49360,2018-03-20/2021-03-01,6.673933103
3007,30,SN24230,2012-01-01/2021-03-01,4.125650333
4621,46,SN51980,2013-11-15/2021-03-01,3.3
5401,54,SN90720,2003-10-08/2021-03-01,4.843003413
1103,11,SN44605,2013-06-11/2021-03-01,9.359967759
4640,46,SN55730,1895-07-01/2021-03-01,3.3
5401,54,SN90451,2011-10-20/2021-03-01,5.688888889
4622,46,SN50311,2011-01-01/2021-03-01,5.099232159
4650,46,SN58350,2011-08-24/2021-03-01,4.38839075
5006,50,SN71000,1984-05-05/2021-03-01,5.44385587
2100,21,SN99710,1910-01-01/2021-03-01,-1.456443824
3044,30,SN25540,1949-10-22/2021-03-01,3.3
4203,42,SN36010,2011-01-01/2021-03-01,6.26044843
2300,23,SN77029,2018-01-09/2021-03-01,0.447133758
3003,30,SN3200,1896-08-01/2021-03-01,3.3
5425,54,SN91420,2017-11-27/2021-03-01,2.750843882
1124,11,SN44560,1935-05-21/2021-03-01,7.807928985
3005,30,SN26975,2015-06-01/2021-03-01,7.721113445
5401,54,SN90400,1987-05-04/2021-03-01,3.919582888
1874,18,SN85645,2014-09-11/2021-03-01,5.346682897
3403,34,SN12291,2011-01-01/2021-03-01,4.500862069
4221,42,SN40005,2014-09-12/2021-03-01,4.615996967
1841,18,SN82110,2014-06-11/2021-03-01,5.038248473
4620,46,SN49910,1966-06-01/2021-03-01,6.658468968
2600,26,SN76969,2004-09-26/2021-03-01,8.916253444
5006,50,SN70680,1921-11-01/2021-03-01,5.959376048
3819,38,SN31850,1960-08-01/2021-03-01,3.3
4640,46,SN55930,1994-12-01/2021-03-01,3.3
1506,15,SN63000,2014-09-11/2021-03-01,4.997738386
3803,38,SN27301,2003-05-20/2021-03-01,3.3
3453,34,SN23560,1895-07-01/2021-03-01,3.3
2300,23,SN77032,2017-03-03/2021-03-01,6.92739726
5057,50,SN71550,1954-07-01/2021-03-01,6.218518977
4621,46,SN51597,2015-11-05/2021-03-01,5.182220796
1841,18,SN82020,2012-01-01/2021-03-01,5.120774264
4217,42,SN36560,1966-07-01/2021-03-01,6.34383651
5437,54,SN97470,2015-11-04/2021-03-01,-3.556196581
4620,46,SN49955,2014-12-01/2021-03-01,8.435202271
3035,30,SN11125,2013-10-07/2021-03-01,5.347886394
4619,46,SN49865,2015-11-03/2021-03-01,-0.387650361
1520,15,SN59860,2012-01-01/2021-03-01,7.338068182
1824,18,SN78360,2011-10-14/2021-03-01,3.875584492
2400,24,SN76933,2007-09-12/2021-03-01,7.995376121
3431,34,SN16400,2014-11-11/2021-03-01,2.940122111
3818,38,SN31500,1931-01-01/2021-03-01,-2.962142857
3815,38,SN34900,1895-08-01/2021-03-01,3.3
5401,54,SN91010,2019-02-21/2021-03-01,0.907517483
2800,28,SN77005,1993-06-01/2021-03-01,1.457122233
1103,11,SN44563,2013-06-11/2021-03-01,9.181319851
3429,34,SN9160,2011-02-11/2021-03-01,0.83346049
3446,34,SN11340,2011-01-01/2021-03-01,3.198763826
1124,11,SN44545,2013-06-11/2021-03-01,8.689129259
4213,42,SN35860,1920-07-01/2021-03-01,7.780220196
5053,50,SN71200,1991-06-01/2021-03-01,3.3
4648,46,SN57940,1943-09-01/2021-03-01,3.3
4627,46,SN52458,2014-12-01/2021-03-01,7.900381471
5434,54,SN94500,1867-09-01/2021-03-01,3.213991413
1515,15,SN59815,2020-09-16/2021-03-01,6.547741935
1108,11,SN44760,1980-06-01/2021-03-01,3.3
2600,26,SN76960,2014-01-01/2021-03-01,9.838292011
3418,34,SN6020,2003-11-17/2021-03-01,5.235017477
5056,50,SN65530,2014-09-11/2021-03-01,5.225555556
4649,46,SN58810,2020-09-16/2021-03-01,0.947741935
5427,54,SN91728,2013-12-18/2021-03-01,3.818228032
5035,50,SN69280,2013-10-10/2021-03-01,4.200411765
4648,46,SN57850,1990-07-01/2021-03-01,3.3
1528,15,SN60030,2019-10-24/2021-03-01,3.3
5058,50,SN71900,1895-07-01/2021-03-01,3.3
3042,30,SN25040,2015-11-04/2021-03-01,2.30960452
2600,26,SN77041,2014-04-07/2021-03-01,8.885419532
1865,18,SN86300,2012-01-01/2021-03-01,3.3
1806,18,SN84900,1922-12-08/2021-03-01,-1.7321773
3818,38,SN31410,1920-10-01/2021-03-01,3.3
5001,50,SN69020,1970-03-04/2021-03-01,6.628293166
1532,15,SN60990,1958-07-01/2021-03-01,7.366049194
5020,50,SN71990,1965-11-01/2021-03-01,6.643370471
1130,11,SN45460,2013-06-10/2021-03-01,9.099944964
5406,54,SN94195,2004-12-24/2021-03-01,-0.10348906
3802,38,SN26996,2014-07-07/2021-03-01,4.342456719
1539,15,SN61340,2011-11-30/2021-03-01,7.245703727
3454,34,SN54710,1967-01-01/2021-03-01,0.124053628
5042,50,SN73210,2014-12-01/2021-03-01,1.380341377
3045,30,SN26350,2014-01-21/2021-03-01,4.953250774
3443,34,SN11690,2011-01-01/2021-03-01,3.861673414
4651,46,SN58900,1993-11-01/2021-03-01,5.709000215
2100,21,SN99910,1974-07-26/2021-03-01,-4.754042929
1124,11,SN44554,2006-01-01/2021-03-01,3.3
1840,18,SN81760,2016-11-14/2021-03-01,-0.098181818
4644,46,SN55670,1972-09-01/2021-03-01,3.3
1806,18,SN84380,2012-01-01/2021-03-01,5.687418301
4201,42,SN35340,1968-02-01/2021-03-01,3.3
301,3,SN18410,2011-01-01/2021-03-01,6.881678411
5025,50,SN10380,1957-08-01/2021-03-01,1.310771042
3042,30,SN25112,2006-12-06/2021-03-01,2.739867598
3805,38,SN30244,2013-06-11/2021-03-01,7.358310249
3436,34,SN13655,2011-06-08/2021-03-01,1.363731007
5418,54,SN89350,1940-07-01/2021-03-01,1.222220198
1845,18,SN82720,2016-12-21/2021-03-01,-0.226522593
4611,46,SN47730,2018-01-23/2021-03-01,9.114927048
5437,54,SN97120,2013-07-22/2021-03-01,-0.26004502
1535,15,SN61062,2019-10-23/2021-03-01,3.3
2100,21,SN99874,2019-09-26/2021-03-01,-6.681573896
3434,34,SN15270,1999-09-17/2021-03-01,-3.462147325
5043,50,SN74780,2019-09-01/2021-03-01,0.136234818
5435,54,SN94805,2013-07-22/2021-03-01,3.779040736
5418,54,SN90050,2012-01-03/2021-03-01,3.3
