1,Productive forest,1,Forestry,1,spruce,301,Oslo ,3,Oslo,10,> 90%  solid rock
12,unproductive forest,2,Urban / residential,2,pine,1101,Eigersund ,11,Rogaland,11,lots of open solid rock
13,Other woodland,3,cabin field,3,birch,1103,Stavanger ,15,Møre og Romsdal,1,< 25 cm soil depth
2,Coastal heathland,4,Military area,,,1106,Haugesund ,18,Nordland,2,25-50 cm soil depth
22,Snowy fields,5,Nature reserve,,,1108,Sandnes ,30,Viken,3,50-100 cm soil depth
30,Water,6,Road / Rail / Airport,,,1111,Sokndal ,34,Innlandet,4,> 100 cm soil depth
40,Cultural pasture,7,Power line,,,1112,Lund ,38,Vestfold og Telemark,,
41,Cultivation,8,Others,,,1114,Bjerkreim ,42,Agder,,
50, Others,9,Recreation area,,,1119,Hå ,46,Vestland,,
,,,,,,1120,Klepp ,50,Trøndelag,,
,,,,,,1121,Time ,54,Troms og Finnmark,,
,,,,,,1122,Gjesdal ,,,,
,,,,,,1124,Sola ,,,,
,,,,,,1127,Randaberg ,,,,
,,,,,,1130,Strand ,,,,
,,,,,,1133,Hjelmeland ,,,,
,,,,,,1134,Suldal ,,,,
,,,,,,1135,Sauda ,,,,
,,,,,,1144,Kvitsøy ,,,,
,,,,,,1145,Bokn ,,,,
,,,,,,1146,Tysvær ,,,,
,,,,,,1149,Karmøy ,,,,
,,,,,,1151,Utsira ,,,,
,,,,,,1160,Vindafjord ,,,,
,,,,,,1505,Kristiansund ,,,,
,,,,,,1506,Molde ,,,,
,,,,,,1507,Ålesund ,,,,
,,,,,,1511,Vanylven ,,,,
,,,,,,1514,Sande ,,,,
,,,,,,1515,Herøy ,,,,
,,,,,,1516,Ulstein ,,,,
,,,,,,1517,Hareid ,,,,
,,,,,,1520,Ørsta ,,,,
,,,,,,1525,Stranda ,,,,
,,,,,,1528,Sykkylven ,,,,
,,,,,,1531,Sula ,,,,
,,,,,,1532,Giske ,,,,
,,,,,,1535,Vestnes ,,,,
,,,,,,1539,Rauma ,,,,
,,,,,,1547,Aukra ,,,,
,,,,,,1554,Averøy ,,,,
,,,,,,1557,Gjemnes ,,,,
,,,,,,1560,Tingvoll ,,,,
,,,,,,1563,Sunndal ,,,,
,,,,,,1566,Surnadal ,,,,
,,,,,,1573,Smøla ,,,,
,,,,,,1576,Aure ,,,,
,,,,,,1577,Volda ,,,,
,,,,,,1578,Fjord ,,,,
,,,,,,1579,Hustadvika ,,,,
,,,,,,1804,Bodø ,,,,
,,,,,,1806,Narvik ,,,,
,,,,,,1811,Bindal ,,,,
,,,,,,1812,Sømna ,,,,
,,,,,,1813,Brønnøy ,,,,
,,,,,,1815,Vega ,,,,
,,,,,,1816,Vevelstad ,,,,
,,,,,,1818,Herøy ,,,,
,,,,,,1820,Alstahaug ,,,,
,,,,,,1822,Leirfjord ,,,,
,,,,,,1824,Vefsn ,,,,
,,,,,,1825,Grane ,,,,
,,,,,,1826,Hattfjelldal ,,,,
,,,,,,1827,Dønna ,,,,
,,,,,,1828,Nesna ,,,,
,,,,,,1832,Hemnes ,,,,
,,,,,,1833,Rana ,,,,
,,,,,,1834,Lurøy ,,,,
,,,,,,1835,Træna ,,,,
,,,,,,1836,Rødøy ,,,,
,,,,,,1837,Meløy ,,,,
,,,,,,1838,Gildeskål ,,,,
,,,,,,1839,Beiarn ,,,,
,,,,,,1840,Saltdal ,,,,
,,,,,,1841,Fauske ,,,,
,,,,,,1845,Sørfold ,,,,
,,,,,,1848,Steigen ,,,,
,,,,,,1851,Lødingen ,,,,
,,,,,,1853,Evenes ,,,,
,,,,,,1856,Røst ,,,,
,,,,,,1857,Værøy ,,,,
,,,,,,1859,Flakstad ,,,,
,,,,,,1860,Vestvågøy ,,,,
,,,,,,1865,Vågan ,,,,
,,,,,,1866,Hadsel ,,,,
,,,,,,1867,Bø ,,,,
,,,,,,1868,Øksnes ,,,,
,,,,,,1870,Sortland ,,,,
,,,,,,1871,Andøy ,,,,
,,,,,,1874,Moskenes ,,,,
,,,,,,1875,Hamarøy,,,,
,,,,,,3001,Halden ,,,,
,,,,,,3002,Moss ,,,,
,,,,,,3003,Sarpsborg ,,,,
,,,,,,3004,Fredrikstad ,,,,
,,,,,,3005,Drammen ,,,,
,,,,,,3006,Kongsberg ,,,,
,,,,,,3007,Ringerike ,,,,
,,,,,,3011,Hvaler ,,,,
,,,,,,3012,Aremark ,,,,
,,,,,,3013,Marker ,,,,
,,,,,,3014,Indre Østfold ,,,,
,,,,,,3015,Skiptvet ,,,,
,,,,,,3016,Rakkestad ,,,,
,,,,,,3017,Råde ,,,,
,,,,,,3018,Våler ,,,,
,,,,,,3019,Vestby ,,,,
,,,,,,3020,Nordre Follo ,,,,
,,,,,,3021,Ås ,,,,
,,,,,,3022,Frogn ,,,,
,,,,,,3023,Nesodden ,,,,
,,,,,,3024,Bærum ,,,,
,,,,,,3025,Asker ,,,,
,,,,,,3026,Aurskog-Høland ,,,,
,,,,,,3027,Rælingen ,,,,
,,,,,,3028,Enebakk ,,,,
,,,,,,3029,Lørenskog ,,,,
,,,,,,3030,Lillestrøm ,,,,
,,,,,,3031,Nittedal ,,,,
,,,,,,3032,Gjerdrum ,,,,
,,,,,,3033,Ullensaker ,,,,
,,,,,,3034,Nes ,,,,
,,,,,,3035,Eidsvoll ,,,,
,,,,,,3036,Nannestad ,,,,
,,,,,,3037,Hurdal ,,,,
,,,,,,3038,Hole ,,,,
,,,,,,3039,Flå ,,,,
,,,,,,3040,Nesbyen ,,,,
,,,,,,3041,Gol ,,,,
,,,,,,3042,Hemsedal ,,,,
,,,,,,3043,Ål ,,,,
,,,,,,3044,Hol ,,,,
,,,,,,3045,Sigdal ,,,,
,,,,,,3046,Krødsherad ,,,,
,,,,,,3047,Modum ,,,,
,,,,,,3048,Øvre Eiker ,,,,
,,,,,,3049,Lier ,,,,
,,,,,,3050,Flesberg ,,,,
,,,,,,3051,Rollag ,,,,
,,,,,,3052,Nore og Uvdal ,,,,
,,,,,,3053,Jevnaker ,,,,
,,,,,,3054,Lunner ,,,,
,,,,,,3401,Kongsvinger ,,,,
,,,,,,3403,Hamar ,,,,
,,,,,,3405,Lillehammer ,,,,
,,,,,,3407,Gjøvik ,,,,
,,,,,,3411,Ringsaker ,,,,
,,,,,,3412,Løten ,,,,
,,,,,,3413,Stange ,,,,
,,,,,,3414,Nord-Odal ,,,,
,,,,,,3415,Sør-Odal ,,,,
,,,,,,3416,Eidskog ,,,,
,,,,,,3417,Grue ,,,,
,,,,,,3418,Åsnes ,,,,
,,,,,,3419,Våler ,,,,
,,,,,,3420,Elverum ,,,,
,,,,,,3421,Trysil ,,,,
,,,,,,3422,Åmot ,,,,
,,,,,,3423,Stor-Elvdal ,,,,
,,,,,,3424,Rendalen ,,,,
,,,,,,3425,Engerdal ,,,,
,,,,,,3426,Tolga ,,,,
,,,,,,3427,Tynset ,,,,
,,,,,,3428,Alvdal ,,,,
,,,,,,3429,Folldal ,,,,
,,,,,,3430,Os ,,,,
,,,,,,3431,Dovre ,,,,
,,,,,,3432,Lesja ,,,,
,,,,,,3433,Skjåk ,,,,
,,,,,,3434,Lom ,,,,
,,,,,,3435,Vågå ,,,,
,,,,,,3436,Nord-Fron ,,,,
,,,,,,3437,Sel ,,,,
,,,,,,3438,Sør-Fron ,,,,
,,,,,,3439,Ringebu ,,,,
,,,,,,3440,Øyer ,,,,
,,,,,,3441,Gausdal ,,,,
,,,,,,3442,Østre Toten ,,,,
,,,,,,3443,Vestre Toten ,,,,
,,,,,,3446,Gran ,,,,
,,,,,,3447,Søndre Land ,,,,
,,,,,,3448,Nordre Land ,,,,
,,,,,,3449,Sør-Aurdal ,,,,
,,,,,,3450,Etnedal ,,,,
,,,,,,3451,Nord-Aurdal ,,,,
,,,,,,3452,Vestre Slidre ,,,,
,,,,,,3453,Øystre Slidre ,,,,
,,,,,,3454,Vang ,,,,
,,,,,,3801,Horten ,,,,
,,,,,,3802,Holmestrand ,,,,
,,,,,,3803,Tønsberg ,,,,
,,,,,,3804,Sandefjord ,,,,
,,,,,,3805,Larvik ,,,,
,,,,,,3806,Porsgrunn ,,,,
,,,,,,3807,Skien ,,,,
,,,,,,3808,Notodden ,,,,
,,,,,,3811,Færder ,,,,
,,,,,,3812,Siljan ,,,,
,,,,,,3813,Bamble ,,,,
,,,,,,3814,Kragerø ,,,,
,,,,,,3815,Drangedal ,,,,
,,,,,,3816,Nome ,,,,
,,,,,,3817,Midt-Telemark ,,,,
,,,,,,3818,Tinn ,,,,
,,,,,,3819,Hjartdal ,,,,
,,,,,,3820,Seljord ,,,,
,,,,,,3821,Kviteseid ,,,,
,,,,,,3822,Nissedal ,,,,
,,,,,,3823,Fyresdal ,,,,
,,,,,,3824,Tokke ,,,,
,,,,,,3825,Vinje ,,,,
,,,,,,4201,Risør ,,,,
,,,,,,4202,Grimstad ,,,,
,,,,,,4203,Arendal ,,,,
,,,,,,4204,Kristiansand ,,,,
,,,,,,4205,Lindesnes ,,,,
,,,,,,4206,Farsund ,,,,
,,,,,,4207,Flekkefjord ,,,,
,,,,,,4211,Gjerstad ,,,,
,,,,,,4212,Vegårshei ,,,,
,,,,,,4213,Tvedestrand ,,,,
,,,,,,4214,Froland ,,,,
,,,,,,4215,Lillesand ,,,,
,,,,,,4216,Birkenes ,,,,
,,,,,,4217,Åmli ,,,,
,,,,,,4218,Iveland ,,,,
,,,,,,4219,Evje og Hornnes ,,,,
,,,,,,4220,Bygland ,,,,
,,,,,,4221,Valle ,,,,
,,,,,,4222,Bykle ,,,,
,,,,,,4223,Vennesla ,,,,
,,,,,,4224,Åseral ,,,,
,,,,,,4225,Lyngdal ,,,,
,,,,,,4226,Hægebostad ,,,,
,,,,,,4227,Kvinesdal ,,,,
,,,,,,4228,Sirdal ,,,,
,,,,,,4601,Bergen ,,,,
,,,,,,4602,Kinn ,,,,
,,,,,,4611,Etne ,,,,
,,,,,,4612,Sveio ,,,,
,,,,,,4613,Bømlo ,,,,
,,,,,,4614,Stord ,,,,
,,,,,,4615,Fitjar ,,,,
,,,,,,4616,Tysnes ,,,,
,,,,,,4617,Kvinnherad ,,,,
,,,,,,4618,Ullensvang ,,,,
,,,,,,4619,Eidfjord ,,,,
,,,,,,4620,Ulvik ,,,,
,,,,,,4621,Voss ,,,,
,,,,,,4622,Kvam ,,,,
,,,,,,4623,Samnanger ,,,,
,,,,,,4624,Bjørnafjorden ,,,,
,,,,,,4625,Austevoll ,,,,
,,,,,,4626,Øygarden ,,,,
,,,,,,4627,Askøy ,,,,
,,,,,,4628,Vaksdal ,,,,
,,,,,,4629,Modalen ,,,,
,,,,,,4630,Osterøy ,,,,
,,,,,,4631,Alver ,,,,
,,,,,,4632,Austrheim ,,,,
,,,,,,4633,Fedje ,,,,
,,,,,,4634,Masfjorden ,,,,
,,,,,,4635,Gulen ,,,,
,,,,,,4636,Solund ,,,,
,,,,,,4637,Hyllestad ,,,,
,,,,,,4638,Høyanger ,,,,
,,,,,,4639,Vik ,,,,
,,,,,,4640,Sogndal ,,,,
,,,,,,4641,Aurland ,,,,
,,,,,,4642,Lærdal ,,,,
,,,,,,4643,Årdal ,,,,
,,,,,,4644,Luster ,,,,
,,,,,,4645,Askvoll ,,,,
,,,,,,4646,Fjaler ,,,,
,,,,,,4647,Sunnfjord ,,,,
,,,,,,4648,Bremanger ,,,,
,,,,,,4649,Stad ,,,,
,,,,,,4650,Gloppen ,,,,
,,,,,,4651,Stryn ,,,,
,,,,,,5001,Trondheim ,,,,
,,,,,,5006,Steinkjer ,,,,
,,,,,,5007,Namsos ,,,,
,,,,,,5014,Frøya ,,,,
,,,,,,5020,Osen ,,,,
,,,,,,5021,Oppdal ,,,,
,,,,,,5022,Rennebu ,,,,
,,,,,,5025,Røros ,,,,
,,,,,,5026,Holtålen ,,,,
,,,,,,5027,Midtre Gauldal ,,,,
,,,,,,5028,Melhus ,,,,
,,,,,,5029,Skaun ,,,,
,,,,,,5031,Malvik ,,,,
,,,,,,5032,Selbu ,,,,
,,,,,,5033,Tydal ,,,,
,,,,,,5034,Meråker ,,,,
,,,,,,5035,Stjørdal ,,,,
,,,,,,5036,Frosta ,,,,
,,,,,,5037,Levanger ,,,,
,,,,,,5038,Verdal ,,,,
,,,,,,5041,Snåsa,,,,
,,,,,,5042,Lierne ,,,,
,,,,,,5043,Røyrvik,,,,
,,,,,,5044,Namsskogan ,,,,
,,,,,,5045,Grong ,,,,
,,,,,,5046,Høylandet ,,,,
,,,,,,5047,Overhalla ,,,,
,,,,,,5049,Flatanger ,,,,
,,,,,,5052,Leka ,,,,
,,,,,,5053,Inderøy ,,,,
,,,,,,5054,Indre Fosen ,,,,
,,,,,,5055,Heim ,,,,
,,,,,,5056,Hitra ,,,,
,,,,,,5057,Ørland ,,,,
,,,,,,5058,Åfjord ,,,,
,,,,,,5059,Orkland ,,,,
,,,,,,5060,Nærøysund ,,,,
,,,,,,5061,Rindal ,,,,
,,,,,,5401,Tromsø ,,,,
,,,,,,5402,Harstad ,,,,
,,,,,,5403,Alta ,,,,
,,,,,,5404,Vardø ,,,,
,,,,,,5405,Vadsø ,,,,
,,,,,,5406,Hammerfest ,,,,
,,,,,,5411,Kvæfjord ,,,,
,,,,,,5412,Tjeldsund ,,,,
,,,,,,5413,Ibestad ,,,,
,,,,,,5414,Gratangen ,,,,
,,,,,,5415,Lavangen,,,,
,,,,,,5416,Bardu ,,,,
,,,,,,5417,Salangen ,,,,
,,,,,,5418,Målselv ,,,,
,,,,,,5419,Sørreisa ,,,,
,,,,,,5420,Dyrøy ,,,,
,,,,,,5421,Senja ,,,,
,,,,,,5422,Balsfjord ,,,,
,,,,,,5423,Karlsøy ,,,,
,,,,,,5424,Lyngen ,,,,
,,,,,,5425,Storfjord,,,,
,,,,,,5426,Kaivuono ,,,,
,,,,,,5427,Skjervøy ,,,,
,,,,,,5428,Nordreisa ,,,,
,,,,,,5429,Kvænangen ,,,,
,,,,,,5430,Kautokeino,,,,
,,,,,,5432,Loppa ,,,,
,,,,,,5433,Hasvik ,,,,
,,,,,,5434,Måsøy ,,,,
,,,,,,5435,Nordkapp ,,,,
,,,,,,5436,Porsanger,,,,
,,,,,,5437,Karasjok,,,,
,,,,,,5438,Lebesby ,,,,
,,,,,,5439,Gamvik ,,,,
,,,,,,5440,Berlevåg ,,,,
,,,,,,5441,Tana,,,,
,,,,,,5442,Nesseby,,,,
,,,,,,5443,Båtsfjord ,,,,
,,,,,,5444,Sør-Varanger ,,,,
